filename,report_number,commodity,type,heading_sequence
M-17-2026 Reliance Retail (Kiwi Crunch Exports Ltd) Apple Container No. TEMU9884103 - Suri.pdf,M-17-2026,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → NOTE: → PARAGRAPH 2.1 → THE CONDITION FOUND OF APPLE FRUITS: → SURVEY PHOTOGRAPHS:
M-170-2025 Reliance Apple Container No. EGSU5042216.pdf,M-170-2025,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → NOTE: → PARAGRAPH 2.1 → THE CONDITION FOUND OF APPLE FRUITS: → SURVEY PHOTOGRAPHS:
M-18-2026 Reliance Retail (Kiwi Crunch Exports Ltd) Apple Container No. FBIU5726186 - Taloja.pdf,M-18-2026,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → NOTE: → PARAGRAPH 2.1 → THE CONDITION FOUND OF APPLE FRUITS: → SURVEY PHOTOGRAPHS:
M-187-2025 RB Impex Apple Container No. SZLU9525986.pdf,M-187-2025,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → NOTE: → PARAGRAPH 2.1 → THE CONDITION FOUND OF APPLE FRUITS: → SURVEY PHOTOGRAPHS:
M-188-2025 RB Impex Apple Container No. SEGU9060648.pdf,M-188-2025,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → NOTE: → PARAGRAPH 2.1 → THE CONDITION FOUND OF APPLE FRUITS: → SURVEY PHOTOGRAPHS:
M-19-2026 NGK Trading (GF Marketing Pty. Ltd) Apple Container No. MEDU9174048.pdf,M-19-2026,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → PARAGRAPH 2.1 → SURVEY PHOTOGRAPHS
M-191-2025 Reliance Retail Apple Container No. OERU4093947.pdf,M-191-2025,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → NOTE: → PARAGRAPH 2.1 → THE CONDITION FOUND OF APPLE FRUITS: → SURVEY PHOTOGRAPHS:
M-197-2025 NGK Trading Apple Container No. TLLU1102723.pdf,M-197-2025,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → Note: → PARAGRAPH 2.1 → SURVEY PHOTOGRAPHS:
M-2-2026 Reliance Retail Ltd (VOG SOC. Agricola Coop) Apple Container No. OERU4100964.pdf,M-2-2026,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → NOTE: → PARAGRAPH 2.1 → THE CONDITION FOUND OF APPLE FRUITS: → SURVEY PHOTOGRAPHS:
M-20-2026 Vande Fresh (S.R.L. LLV-Fruct -Export) Apple Container No. TRKU1101166.pdf,M-20-2026,APPLE,SURVEY,PARTICULARS → PARAGRAPH 1 → PARAGRAPH 2 → NOTE: → PARAGRAPH 2.1 → THE CONDITION FOUND OF APPLE FRUITS: → SURVEY PHOTOGRAPHS:
