filename,row_preview,computed_total,stated_total,difference
M-17-2026 Reliance Retail (Kiwi Crunch Exports Ltd) Apple Container No. TEMU9884103 - Suri.pdf,16.25 | 17.30 | 16.50 | 16.55 | 18.64,50.35,18.64,31.71
M-17-2026 Reliance Retail (Kiwi Crunch Exports Ltd) Apple Container No. TEMU9884103 - Suri.pdf,16.29 | 17.87 | 16.62 | 16.56 | 19.14,51.05,19.14,31.91
M-17-2026 Reliance Retail (Kiwi Crunch Exports Ltd) Apple Container No. TEMU9884103 - Suri.pdf,Photos 17 & 18 | Photos 19 & 20 | Photos 21 & 22 | Photos 23 & 24 | Photos 25 & 26,6366,2526,3840
M-18-2026 Reliance Retail (Kiwi Crunch Exports Ltd) Apple Container No. FBIU5726186 - Taloja.pdf,Royal Gala (90 Count): 2 pieces with 4 readings in LBS | Royal Gala (100 Count): 2 pieces with 4 readings in LBS | Royal Gala (110 Count): 2 pieces with 4 readings in LBS | Royal Gala (165 Count): 2 pieces with 4 readings in LBS,21048,16524,4524
M-18-2026 Reliance Retail (Kiwi Crunch Exports Ltd) Apple Container No. FBIU5726186 - Taloja.pdf,14.59 | 14.53 | 14.25 | 15.56,28.78,15.56,13.22
M-18-2026 Reliance Retail (Kiwi Crunch Exports Ltd) Apple Container No. FBIU5726186 - Taloja.pdf,15.21 | 15.84 | 15.52 | 16.23,31.36,16.23,15.13
M-18-2026 Reliance Retail (Kiwi Crunch Exports Ltd) Apple Container No. FBIU5726186 - Taloja.pdf,15.73 | 16.04 | 16.03 | 16.52,32.07,16.52,15.55
M-18-2026 Reliance Retail (Kiwi Crunch Exports Ltd) Apple Container No. FBIU5726186 - Taloja.pdf,15.88 | 17.34 | 17.17 | 17.24,34.51,17.24,17.27
M-18-2026 Reliance Retail (Kiwi Crunch Exports Ltd) Apple Container No. FBIU5726186 - Taloja.pdf,Photos 18 to 19 | Photos 20 to 21 | Photos 22 to 23 | Photos 24 to 25,4244,2425,1819
M-191-2025 Reliance Retail Apple Container No. OERU4093947.pdf, |  | Fresh Apple CIVM 49 - Red Pop® | TP100 | 280,149,280,131
M-191-2025 Reliance Retail Apple Container No. OERU4093947.pdf, |  | Fresh Apple CIVM 49 – Red Pop® | TP113 | 336,162,336,174
M-191-2025 Reliance Retail Apple Container No. OERU4093947.pdf, |  | Fresh Apple CIVM 49 – Red Pop® | TP125 | 504,174,504,330
M-20-2026 Vande Fresh (S.R.L. LLV-Fruct -Export) Apple Container No. TRKU1101166.pdf,Variety / Size |  |  | No. Of Boxes |  | ,1612,1791,179
M-20-2026 Vande Fresh (S.R.L. LLV-Fruct -Export) Apple Container No. TRKU1101166.pdf, |  |  |  |  | ,24,7,17
M-249-2025 NGK Trading Apple Container No. EMCU5439924 .pdf, | Total 12 Boxes |  |  |  | ,1414,195,1219
M-250-2025 NGK Trading Apple Container No. EMCU5671009.pdf, | Total 12 Boxes |  |  |  | 163,1352,167,1185
M-31-2026 Reliance Retail (Fruitways Marketing Pty. Ltd) Apple Container No. MNBU4391735.pdf,Royal Gala (120 Count): 2 pieces with 4 readings in LBS |  | Granny Smith (100 Count): 2 pieces with 4 readings in LBS |  |  | Granny Smith (110 Count): 2 pieces with 4 readings in LBS,21048,16524,4524
M-31-2026 Reliance Retail (Fruitways Marketing Pty. Ltd) Apple Container No. MNBU4391735.pdf, |  |  |  |  | ,210,165,45
