filename,report_number,type,family,commodity,client,container_count,photo_count,page_count,date,content_hash
M-191-2025 Reliance Retail Apple Container No. OERU4093947.pdf,M-191-2025,SURVEY,SURVEY_REPORT,APPLE,Reliance Retail Ltd,1,44,13,22 October 2025,75b67eaccd30fd6e
M-197-2025 NGK Trading Apple Container No. TLLU1102723.pdf,M-197-2025,SURVEY,SURVEY_REPORT,APPLE,NGK Trading Company Pvt.Ltd,1,0,15,13 October 2025,fed9b74dffa0d93b
M-2-2026 Reliance Retail Ltd (VOG SOC. Agricola Coop) Apple Container No. OERU4100964.pdf,M-2-2026,SURVEY,SURVEY_REPORT,APPLE,Reliance Retail Limited,1,120,21,18 February 2026,84c792e1d97e0299
M-20-2026 Vande Fresh (S.R.L. LLV-Fruct -Export) Apple Container No. TRKU1101166.pdf,M-20-2026,SURVEY,SURVEY_REPORT,APPLE,D Wing,1,122,21,1 April 2026,f34606e11f5a725c
M-22-2025 Reliance Retails Apple - Container No. FSCU5352929.pdf,M-22-2025,SURVEY,SURVEY_REPORT,APPLE,Reliance Retail Ltd,1,38,10,16 March 2025,ef7b9667ac443681
M-22-2026 NGK Trading (GF Marketing Pty. Ltd) Apple Container No. MEDU9875536.pdf,M-22-2026,SURVEY,SURVEY_REPORT,APPLE,NGK Trading Company Pvt.Ltd,1,110,20,22 March 2026,d73c31626394be0d
M-23-2026 NGK Trading (GF Marketing Pty. Ltd) Apple Container No. OTPU6447532.pdf,M-23-2026,SURVEY,SURVEY_REPORT,APPLE,NGK Trading Company Pvt.Ltd,1,124,22,6 March 2026,0f183f39d52661a4
M-236-2025 Reliance Retail Apple Container No. SZLU9896740.pdf,M-236-2025,SURVEY,SURVEY_REPORT,APPLE,Reliance Retail Ltd,1,207,35,7 December 2025,f8e018a5aa6c96d4
M-24-2026 NGK Trading (GF Marketing Pty. Ltd) Apple Container No. SEGU9991830.pdf,M-24-2026,SURVEY,SURVEY_REPORT,APPLE,NGK Trading Company Pvt.Ltd,1,106,20,22 March 2026,a6b0a66096d40986
M-241-2025 Natal International Apple Container No. HLBU6235270 (Bangalore).pdf,M-241-2025,SURVEY,SURVEY_REPORT,APPLE,Natal International Private Limited,1,140,24,21 December 2025,cd0f923d54dbda71
M-248-2025 Reliance Retail Ltd Apple Container No. SEKU9257760.pdf,M-248-2025,SURVEY,SURVEY_REPORT,APPLE,Reliance Retail Ltd,1,214,35,10 January 2026,667dfb57846cbb82
M-249-2025 NGK Trading Apple Container No. EMCU5439924 .pdf,M-249-2025,SURVEY,SURVEY_REPORT,APPLE,NGK Trading Company Pvt.Ltd,1,162,29,29 December 2025,9061ac93e5b66108
M-25-2026 NGK Trading (GF Marketing Pty. Ltd) Apple Container No. MSDU9841019.pdf,M-25-2026,SURVEY,SURVEY_REPORT,APPLE,NGK Trading Company Pvt.Ltd,1,128,23,22 March 2026,ad2c90536091d972
M-250-2025 NGK Trading Apple Container No. EMCU5671009.pdf,M-250-2025,SURVEY,SURVEY_REPORT,APPLE,NGK Trading Company Pvt.Ltd,1,126,23,29 December 2025,046de96ebfd48816
M-252-2025 NGK Trading Apple Container No. EMCU5629586.pdf,M-252-2025,SURVEY,SURVEY_REPORT,APPLE,NGK Trading Company Pvt.Ltd,1,110,21,29 December 2025,adc5936a1ae93945
M-254-2025 Royalasia Marketing Apple Container No. SILU7001054.pdf,M-254-2025,SURVEY,SURVEY_REPORT,APPLE,Royalasia Marketing International,1,166,28,29 January 2026,29be08f538bc118d
M-255-2025 Reliance Retail Apple Container No. TEMU9239603.pdf,M-255-2025,SURVEY,SURVEY_REPORT,APPLE,Reliance Retail Ltd,1,170,29,28 December 2025,595791ad1b8546a2
M-256-2025 Reliance Retail Apple Container No. CGMU9380347.pdf,M-256-2025,SURVEY,SURVEY_REPORT,APPLE,Reliance Retail Ltd,1,190,31,25 January 2026,36c187ecd977b8dd
M-258-2025 NGK Trading Apple Container No. EGSU5063501.pdf,M-258-2025,SURVEY,SURVEY_REPORT,APPLE,NGK Trading Company Pvt.Ltd,1,200,34,15 January 2026,61e5cd525fd9d94e
M-262-2025 Reliance Retail Ltd Apple Container No. CGMU9331316.pdf,M-262-2025,SURVEY,SURVEY_REPORT,APPLE,Reliance Retail Ltd,1,130,23,11 February 2026,f86e3ac02d0c1167
M-263-2025 Archana Enterprises Apple Container No. CXRU1582745.pdf,M-263-2025,SURVEY,SURVEY_REPORT,APPLE,Archana Enterprises,1,198,33,1 February 2026,918605e084ca9113
M-269-2025 Reliance Retail (Domex Superfresh) Apple Container No. EMCU5591731.pdf,M-269-2025,SURVEY,SURVEY_REPORT,APPLE,Reliance Retail Ltd,1,150,26,14 February 2026,d6ffab7c034535bd
M-27-2026 NGK Trading (GF Marketing Pty. Ltd) Apple Container No. SEGU9997438.pdf,M-27-2026,SURVEY,SURVEY_REPORT,APPLE,NGK Trading Company Pvt.Ltd,1,110,19,22 March 2026,f7f987643d4b8bec
M-270-2025 NGK Trading Apple & Pear Container No. INBU3865207.pdf,M-270-2025,SURVEY,SURVEY_REPORT,APPLE,NGK Trading Company Pvt.Ltd,1,176,31,20 February 2026,ebb122a6baa0dd28
M-271-2025 NGK Trading Apple Container No. INBU4639267.pdf,M-271-2025,SURVEY,SURVEY_REPORT,APPLE,NGK Trading Company Pvt.Ltd,1,108,20,20 February 2026,8eb236d83def88de
M-272-2025 NGK Trading Apple Container No. INBU9158916.pdf,M-272-2025,SURVEY,SURVEY_REPORT,APPLE,NGK Trading Company Pvt.Ltd,1,176,13,20 February 2026,005578cddb225a1a
M-273-2025 NGK Trading Apple Container No. MNBU0211326.pdf,M-273-2025,SURVEY,SURVEY_REPORT,APPLE,NGK Trading Company Pvt.Ltd,1,110,20,20 February 2026,10942c60f4eeb975
